Gene_name,logFC,PValue
USP6,-0.2091885,2.65E-03
PGK 1.00,0.6487868,2.65E-03
CRKL,-0.374688,2.65E-03
EVC,-0.2144972,2.65E-03
VPS37B,0.3890841,2.65E-03
OSBPL6,-0.8297553,2.66E-03
GPR126,-0.6618072,2.66E-03
SLC46A1,0.3911781,2.66E-03
BACE1,0.356486,2.66E-03
ZCCHC6,0.3880752,2.66E-03
APOL3,-0.72937,2.66E-03
HSD17B11,0.4262988,2.66E-03
SLBP,0.3097086,2.66E-03
KYNU,0.3706068,2.67E-03
ACTR3,0.6402016,2.67E-03
GAD1,-0.1669861,2.67E-03
CSNK1E,-0.4695958,2.67E-03
PLK1S1,-0.4207147,2.67E-03
FOSL2,-0.6885585,2.67E-03
NAV1,-0.586299,2.67E-03
USH2A,-0.1771612,2.67E-03
IL18RAP,-0.1532817,2.67E-03
C6orf192,0.5883727,2.67E-03
TSKS,-0.2287652,2.68E-03
GALNT7,0.455139,2.68E-03
TAPT1,-0.3504243,2.68E-03
NFYB,-0.4604872,2.68E-03
SLC25A12,0.4537795,2.68E-03
ADAMTSL4,-0.2737112,2.68E-03
BCAT1,0.3350797,2.68E-03
DNLZ,-0.5194358,2.68E-03
SH3GLB1,0.2823651,2.68E-03
DYNC1I1,-1.1247068,2.68E-03
POLDIP2,0.269642,2.68E-03
CCDC80,-0.8353504,2.68E-03
MLH3,-0.4262615,2.69E-03
VAMP1,-0.2001947,2.69E-03
ABI1,0.4583439,2.69E-03
ZCCHC4,0.3338001,2.69E-03
IRS1,1.0336711,2.69E-03
C17orf85,0.3894612,2.69E-03
LMNB1,0.3196733,2.69E-03
FAIM,0.4562713,2.69E-03
DIO1,-0.1705827,2.69E-03
LOC100288142 /// LOC200030 /// NBPF1 /// NBPF10 /// NBPF11 /// NBPF14 /// NBPF16 /// NBPF8 /// NBPF9,0.8166657,2.70E-03
PIK3C3,-0.1973964,2.70E-03
ZNF263,-0.2650675,2.70E-03
MAF 1.00,-0.2939278,2.70E-03
TARS2,0.3105313,2.70E-03
DHRS9,1.4885572,2.70E-03
SNORD17,-0.3087913,2.70E-03
CTSB,0.5871494,2.70E-03
SNX24,0.4186807,2.70E-03
DGKZ,-0.2960669,2.71E-03
SFRS18,-0.4613253,2.71E-03
KCNIP1,0.7333701,2.71E-03
COL6A1,-0.520439,2.71E-03
USP41,-0.1962913,2.71E-03
AMIGO2,-0.1877088,2.71E-03
CRIP1,-0.8553616,2.72E-03
CAB39L,0.6316679,2.72E-03
SOBP,-0.2245351,2.72E-03
OAZ1,0.3838902,2.72E-03
EMR1,0.5744871,2.72E-03
VPS39,0.2784026,2.72E-03
FASTK,0.2927884,2.73E-03
NHLRC3,0.3276879,2.73E-03
C2orf65,0.3284729,2.73E-03
DLG2,-0.2139566,2.73E-03
ARHGDIA,-0.3444148,2.73E-03
ZNF76,-0.3436207,2.73E-03
TMEM195,-0.1857178,2.73E-03
KIAA1704,0.248034,2.74E-03
SEPP1,-0.4315847,2.74E-03
NF1,0.3361179,2.74E-03
FER1L5,-0.1673713,2.74E-03
PRR13,0.4077742,2.74E-03
SFRS3,-0.2837161,2.74E-03
PPP1R1C,0.9485249,2.75E-03
C6orf174 /// KIAA0408,0.7291084,2.75E-03
PPM1N,0.3856015,2.75E-03
PTCD1,-0.2673956,2.75E-03
CTSD,0.6108324,2.75E-03
HIPK2,0.3349804,2.75E-03
CDH11,-0.3315141,2.75E-03
GABRA2,-1.1882357,2.75E-03
KLK6,-0.4880172,2.75E-03
JAK2,0.5476832,2.75E-03
GATAD1,-0.2575977,2.76E-03
CNNM1,-0.1922881,2.76E-03
SYNC,0.3446264,2.76E-03
HIST1H2BH,-0.185556,2.76E-03
MBLAC1,-0.3320178,2.76E-03
FAM71D /// SF3B4,0.2391362,2.76E-03
KCNC4,-0.4887425,2.76E-03
TACC1,-0.3345464,2.76E-03
IKBIP,0.3592602,2.76E-03
MRPL28,-0.2593775,2.77E-03
DMXL2,0.4059664,2.77E-03
TMCC1,0.2913337,2.77E-03
MSR1,0.6551248,2.77E-03
BAT1,0.4155107,2.78E-03
AKIRIN1,0.579966,2.78E-03
SPSB1,-0.3074592,2.78E-03
SCAND3,-0.2606059,2.78E-03
PIP4K2A,-0.3240787,2.78E-03
CECR6,0.7322624,2.78E-03
C9orf91,0.5944463,2.78E-03
SNX31,-0.2026527,2.79E-03
C3orf79,-0.175304,2.79E-03
PNMA1,0.3546123,2.79E-03
IDS,-0.3262332,2.79E-03
DVL1,-0.3734569,2.79E-03
OPRD1,-0.2708752,2.80E-03
BTBD10,0.5966145,2.80E-03
B4GALT1,-0.2538411,2.80E-03
SRI,0.3100387,2.80E-03
SIRT3,-0.3917371,2.80E-03
SUN2,0.5861671,2.81E-03
GRIPAP1,-0.3429764,2.81E-03
LOC728819,-0.2736932,2.81E-03
TMEM128,0.3889617,2.81E-03
CCL7,-0.3857813,2.81E-03
DYX1C1,0.1953739,2.81E-03
ICA1,0.534213,2.81E-03
TBC1D15,-0.2735604,2.81E-03
MYLK3,-0.1951839,2.81E-03
BAP1,-0.2714889,2.82E-03
CCHCR1,-0.4091659,2.82E-03
C17orf103,-0.250947,2.82E-03
RERG,-0.4225553,2.82E-03
KIAA1045,-0.27605,2.82E-03
PTPLB,0.474912,2.82E-03
RAB6A,0.6060954,2.82E-03
GOLT1A,-0.1816112,2.82E-03
ARFIP2,-0.2732044,2.82E-03
CLK3,-0.257778,2.82E-03
OVOS2,1.2621656,2.83E-03
TTF2,0.4026942,2.83E-03
NXF1,-0.3440537,2.83E-03
DDX59,0.388812,2.83E-03
SPG11,0.3180909,2.83E-03
ANKS6,-0.418742,2.84E-03
ZNF389,0.2681543,2.84E-03
SPIN1,0.436085,2.84E-03
SORBS1,-0.5302333,2.84E-03
ACD,-0.310851,2.84E-03
STOML3,-0.2188949,2.85E-03
DNAJC9 /// MRPS16,0.414177,2.85E-03
RNFT2,-0.4658907,2.85E-03
KIAA0141,0.2700685,2.85E-03
ETV5,0.7156438,2.85E-03
BARD1,0.5884757,2.85E-03
DNAJB12,0.2432269,2.85E-03
ACACB,-0.446931,2.86E-03
ESRP1,-0.7915794,2.86E-03
SSR1,-0.4388746,2.86E-03
ECD,0.2987096,2.86E-03
DEFB104A /// DEFB104B,-0.1681717,2.86E-03
SPTA1,0.2230392,2.86E-03
PDCD2,0.2321887,2.86E-03
LOC727726 /// PARG,0.181901,2.86E-03
CTHRC1,1.3658648,2.86E-03
ELK4,-0.2152758,2.87E-03
LRCH3,0.5058663,2.87E-03
IKZF5,-0.2937128,2.87E-03
ATG3,0.3295054,2.87E-03
MAP7D1,-0.2756777,2.87E-03
TNFSF15,-0.2002586,2.87E-03
KLF6,0.6159639,2.88E-03
ADRA1D,-0.1841173,2.88E-03
PMFBP1,0.3804537,2.88E-03
ZFYVE20,0.1781124,2.88E-03
PLOD2,-0.7007638,2.88E-03
ZNF330,0.3212804,2.88E-03
CYLD,0.445956,2.88E-03
CNN2,-0.3037481,2.89E-03
TMEM135,0.2301344,2.89E-03
GOLPH3L,-0.2452877,2.89E-03
MFSD8,0.3925269,2.89E-03
SRRT,-0.3189594,2.89E-03
MPPED1,-0.1933886,2.89E-03
HNRNPA3,-0.4543141,2.89E-03
ZNHIT6,0.2511971,2.89E-03
HSPA14,-0.2619419,2.90E-03
NDUFC1,-0.170144,2.90E-03
RFNG,-0.3068799,2.90E-03
VWF,-0.8534197,2.90E-03
COPS5,0.2937366,2.90E-03
TMEM159,0.4380204,2.90E-03
C13orf18,0.4614252,2.90E-03
KIAA1919,0.3374352,2.91E-03
COG5,0.6677501,2.91E-03
NFYA,0.2896377,2.91E-03
MAP2K5,-0.7799229,2.91E-03
FAM190B,-0.295822,2.91E-03
ECM1,-0.3005967,2.91E-03
C14orf174,-0.1857458,2.91E-03
C1orf131,0.3181989,2.91E-03
NDFIP1,0.3688648,2.91E-03
AGAP3,-0.3478012,2.91E-03
LPIN2,0.4068495,2.92E-03
PDE7A,-0.548357,2.92E-03
HARS2,-0.3490338,2.92E-03
TBL1XR1,0.5265314,2.92E-03
RNPS1,-0.1679825,2.92E-03
DCT,-0.1779949,2.92E-03
COPS8,0.3744785,2.92E-03
POGZ,-0.3788771,2.93E-03
IPO11,0.4503702,2.93E-03
GDI2,0.2178746,2.93E-03
CUL4B,0.4137394,2.93E-03
MEF2D,-0.3301152,2.93E-03
UBE3B,0.3075297,2.93E-03
CACNA1B,-0.6455754,2.93E-03
HSD17B13,-0.2088032,2.93E-03
SOS 2,0.3685454,2.93E-03
NRIP1,0.7230063,2.94E-03
PIGK,0.4594741,2.94E-03
CES4,-0.2142904,2.94E-03
ProSAPiP1,-0.8103532,2.94E-03
FAM98B,-0.2459409,2.94E-03
GLTPD1,0.3398884,2.94E-03
ERP44,0.3339021,2.94E-03
IKBKB,0.4355271,2.95E-03
ISOC2,0.3446873,2.95E-03
HADHA,0.2397493,2.95E-03
SASH1,0.5094273,2.95E-03
TSGA10,0.199264,2.95E-03
S100A9,-1.50122,2.96E-03
ITGA8,-1.130557,2.96E-03
APLNR,-1.4883181,2.96E-03
QTRTD1,0.2577194,2.96E-03
C17orf89,0.4740135,2.96E-03
PLEKHH3,-0.4223771,2.96E-03
NR4A1,-0.8348282,2.96E-03
VPS53,-0.3471937,2.96E-03
BMP8A /// BMP8B,0.5131805,2.96E-03
ACY3,1.1595972,2.96E-03
RRAD,-1.0298402,2.97E-03
ELF2,-0.3339306,2.97E-03
RPS6KB2,0.3574649,2.97E-03
AP4M1,0.2896407,2.97E-03
NFATC1,-0.385864,2.97E-03
ATG9B,0.2744824,2.97E-03
AZIN1,0.5907694,2.97E-03
PDE4D,-0.2289863,2.97E-03
WWOX,-0.3239363,2.97E-03
TDRD1,-0.241398,2.97E-03
AK5,0.6015271,2.97E-03
FAM120AOS,0.2872447,2.98E-03
HIF1A,0.8108695,2.98E-03
EN1,0.5088135,2.98E-03
ARPC5L,-0.3665829,2.98E-03
VPS4B,0.250838,2.98E-03
ELMO2,-0.2743032,2.98E-03
LOC100288447,-0.3696913,2.98E-03
DMKN,-1.1679505,2.98E-03
RABEPK,-0.3020572,2.98E-03
C7orf63,-0.7525776,2.98E-03
SLFN5,0.4413476,2.99E-03
CSH1 /// CSH2,-0.147704,2.99E-03
RPP40,0.3360319,2.99E-03
IQUB,-0.1884873,2.99E-03
GLUD1,-0.2802436,2.99E-03
HSPA8,0.6401724,2.99E-03
SEPSECS,0.3337131,2.99E-03
CRLS1,0.3242854,2.99E-03
AHCTF1,0.4107398,3.00E-03
SCAP,0.2359258,3.00E-03
ZNF547,0.2554285,3.00E-03
COQ6,0.2997977,3.00E-03
CLEC7A,0.4071658,3.00E-03
LY9,-0.2207219,3.00E-03
RECQL,0.5262703,3.00E-03
C7orf62,-0.2292826,3.01E-03
GTF3C5,-0.1917347,3.01E-03
CCDC11,-0.2345842,3.01E-03
PTPN18,0.4850032,3.01E-03
ZNF606,0.3149791,3.01E-03
TNFRSF1A,-0.3180792,3.01E-03
DHX58,0.5847871,3.01E-03
NR4A1,-0.7102306,3.01E-03
C20orf111,0.338102,3.02E-03
CPT1C,-0.7432838,3.02E-03
MOBKL3,0.2273147,3.02E-03
NT5E,-0.3790949,3.02E-03
CPEB1,-0.4936589,3.02E-03
LCE3C,-0.2083617,3.02E-03
FUS,-0.2273397,3.02E-03
ATG2A,-0.3534083,3.02E-03
TMEM189 /// TMEM189-UBE2V1 /// UBE2V1,-0.2817498,3.02E-03
CABLES1,0.3261178,3.02E-03
CD226,0.3523579,3.02E-03
LRTOMT,-0.3841717,3.02E-03
CLEC4F,-0.3238319,3.03E-03
ARHGEF1,0.3627728,3.03E-03
BCR,-0.1908832,3.03E-03
VCP,0.257676,3.03E-03
VAMP4,0.4561677,3.03E-03
RNGTT,-0.2478664,3.03E-03
SCMH1,-0.4486723,3.03E-03
---,-0.2057434,3.03E-03
LOC728392 /// NLRP1,-0.6570888,3.04E-03
MEX3C,0.2550239,3.04E-03
MLLT10,0.3910406,3.04E-03
CAB39L,0.4152863,3.04E-03
ADSL,0.3457781,3.04E-03
NEDD4L,0.5070164,3.04E-03
KRT24,-0.1863784,3.04E-03
THOC6,0.474282,3.05E-03
TMEM44,-0.4677998,3.05E-03
APPBP2,-0.3930532,3.05E-03
BMP3,-0.2257977,3.05E-03
CSRP2BP /// PET117,-0.3298859,3.05E-03
TCP11L1,0.2836238,3.05E-03
AMIGO2,0.8287655,3.05E-03
WDFY3,0.3223595,3.05E-03
C21orf57,0.5073811,3.05E-03
C5orf13,-0.2504197,3.05E-03
---,-0.1620184,3.06E-03
SCN1B,-0.2516582,3.06E-03
MAX,-0.4003779,3.06E-03
COPS2,-0.2757838,3.06E-03
PF4V1,-0.3717038,3.06E-03
THAP1,0.3895073,3.06E-03
TMEM69,0.3765864,3.06E-03
PSG4,-0.1686314,3.06E-03
BTN2A2,0.7018313,3.06E-03
CHN2,0.3937279,3.06E-03
C14orf28,0.6184285,3.07E-03
NUP85,-0.292886,3.07E-03
CNOT4,-0.3963344,3.07E-03
EIF2S2,-0.2103851,3.07E-03
THOC2,-0.2805097,3.08E-03
CCDC48,-0.2914207,3.08E-03
ERN 1.00,-0.2214386,3.08E-03
REG3G,-0.3807976,3.08E-03
WDR37,0.3015015,3.08E-03
INSL3 /// JAK3,-0.2613805,3.08E-03
RPP21 /// TRIM39 /// TRIM39R,-0.2462281,3.08E-03
NFATC4,-0.2626806,3.08E-03
FABP5,-0.7060175,3.08E-03
CTTNBP2NL,0.4053124,3.08E-03
BCL9L,-0.2508343,3.08E-03
RBBP5,-0.2149633,3.09E-03
STAU2,0.5386719,3.09E-03
UBTF,-0.384038,3.09E-03
EBF4,-0.4156447,3.09E-03
SF1,-0.2657433,3.09E-03
RPS27A,-0.4230815,3.09E-03
GRHPR,-0.2236328,3.09E-03
ADCY7,0.2338704,3.10E-03
TMPRSS11A,-0.2025419,3.10E-03
FGF13,-0.5863466,3.10E-03
FAM10A4 /// FAM10A5 /// ST13,-0.286538,3.11E-03
UNC13C,-0.1526205,3.11E-03
GXYLT2,0.8328719,3.11E-03
ACADM,0.4315874,3.11E-03
SSFA2,0.3276198,3.11E-03
KIAA0467,-0.2785374,3.12E-03
ZNF879,0.387951,3.12E-03
ARPC5,0.3905281,3.12E-03
DGKH,-0.18904,3.12E-03
ANKHD1,-0.3994794,3.12E-03
SIPA1L3,-0.2117927,3.12E-03
LOC654780,-0.2340005,3.12E-03
AADACL4,-0.2040121,3.13E-03
Septin 7,0.2452229,3.13E-03
C5orf24,0.4231264,3.13E-03
SLC25A12,0.2054476,3.13E-03
PSTK,-0.3720774,3.13E-03
GLUD2,0.6435669,3.13E-03
FOXN1,-0.1861925,3.13E-03
EMILIN3,-0.2696506,3.13E-03
ARRDC3,-0.601257,3.13E-03
ISG20L2,0.2877963,3.13E-03
ERLIN2,0.2704515,3.13E-03
---,0.5452736,3.14E-03
ROBO1,-0.2317036,3.14E-03
PAPPA,0.7019084,3.14E-03
CNGA1,-0.4598228,3.14E-03
ALG2,0.3581654,3.14E-03
APPL1,0.2610317,3.14E-03
ZNF498,0.3639018,3.15E-03
INPP4B,0.4922954,3.15E-03
WNT11,-0.3091374,3.15E-03
HSDL1,-0.3663776,3.15E-03
PNLDC1,-0.2243802,3.15E-03
SLC14A2,-0.1672315,3.15E-03
PUS10,0.3458497,3.16E-03
LAMB2,0.448571,3.16E-03
SAMHD1,0.6071216,3.16E-03
SPIB,-0.1758893,3.16E-03
ASZ1,-0.1640175,3.16E-03
NPY1R,0.2881427,3.16E-03
B4GALT1,0.6612534,3.17E-03
HLA-DPB1,1.8569022,3.17E-03
RPSAP9,-0.1753516,3.17E-03
CD93,0.9344873,3.17E-03
MORC3,0.4517914,3.17E-03
EIF3K,-0.2855414,3.17E-03
ACTR1A,0.3629709,3.17E-03
NOC3L,0.350838,3.18E-03
NF1,0.2970726,3.18E-03
ABCA6,-1.1443669,3.18E-03
CYAT1 /// IGLV1-44 /// LOC100290557,-0.2110499,3.18E-03
TBXAS1,0.2936067,3.18E-03
PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5,-0.3854881,3.18E-03
FGF16,-0.2087404,3.18E-03
LRMP,0.4653413,3.19E-03
SLC25A37,-0.4556297,3.19E-03
ZXDC,0.2454,3.19E-03
KIAA1147,0.4808814,3.19E-03
INO80D,-0.2360696,3.19E-03
B3GAT2,-0.5177477,3.19E-03
LTB,0.6852974,3.19E-03
TNFAIP8,0.6799295,3.19E-03
SMU1,-0.4029675,3.19E-03
TRNT1,0.4070332,3.20E-03
AGAP3,-0.4443511,3.20E-03
DBNDD1,0.3286969,3.21E-03
GIF,-0.2288217,3.21E-03
APP,0.4083123,3.21E-03
FOXO1,0.6843058,3.21E-03
KIAA1683,0.5535314,3.21E-03
PTPDC1,-0.850018,3.22E-03
COPZ1,0.4368566,3.22E-03
ETNK2,-0.5857366,3.22E-03
C9orf128,-0.173161,3.22E-03
FSTL4,-0.2381388,3.22E-03
SLC38A9,0.4000118,3.22E-03
HEATR7A,-0.2556091,3.22E-03
ANXA11,0.3582912,3.22E-03
GPR137C,-0.6831199,3.22E-03
SLC4A9,-0.245451,3.22E-03
PI4K2A,0.3897917,3.22E-03
RAB17,-0.6835657,3.22E-03
CCDC66,-0.4005757,3.23E-03
SNX24,0.4958409,3.23E-03
C12orf62,-0.299573,3.23E-03
SIPA1L2,0.5781081,3.23E-03
CCHCR1,-0.3607979,3.23E-03
HELLS,0.300876,3.23E-03
PIK3R1,0.6769015,3.23E-03
TACR2,0.1925017,3.23E-03
SOX15,-0.9181232,3.23E-03
C11orf71,-0.3238135,3.23E-03
ZNF276,-0.3544893,3.23E-03
RPS6KB1,-0.1983021,3.24E-03
KRIT1,-0.2933321,3.24E-03
SEL1L2,1.3164466,3.24E-03
NGLY1,0.3362748,3.24E-03
GPBP1L1,-0.199941,3.24E-03
TMEM109,0.3491244,3.24E-03
CORO7,0.3516567,3.25E-03
TMEM2,-0.9340442,3.25E-03
PTPRK,-0.186418,3.25E-03
ASPH,0.5558817,3.25E-03
ZNF546,0.3020435,3.25E-03
ABCA10,-1.1464527,3.25E-03
AASS,-0.6333005,3.25E-03
BLMH,0.3602706,3.26E-03
ADAM33,-0.8590621,3.26E-03
ELOVL2,-1.2625649,3.26E-03
DRAM1,0.6843478,3.26E-03
PDE6B,0.4270384,3.26E-03
PIP5K1A,-0.251817,3.26E-03
LRRC1,1.0045911,3.26E-03
C10orf54,0.6050016,3.26E-03
HPS1,0.2630088,3.26E-03
NR5A2,-0.1748247,3.26E-03
TIMM8A,-0.2702558,3.26E-03
FOXO3,-0.5524525,3.27E-03
AP2A2,-0.4347413,3.27E-03
KCNJ11,-0.5208586,3.27E-03
MAP4,0.4532679,3.27E-03
APOL1,-0.8259917,3.27E-03
TMEM107,-0.2552871,3.27E-03
PBXIP1,0.3360302,3.27E-03
TESK1,-0.2702632,3.27E-03
ZNF395,-0.5607395,3.27E-03
C1orf91,-0.2274192,3.27E-03
DNAJC11,-0.2774181,3.28E-03
FAM160A2,0.5652352,3.28E-03
DSG3,-0.1797791,3.28E-03
SRP9,0.5877565,3.28E-03
PUS1,-0.2669869,3.28E-03
ANXA8L1,-0.3171523,3.28E-03
ZFC3H1,-0.2920421,3.29E-03
C1orf88,0.40928,3.29E-03
SMAP1,0.3608255,3.29E-03
ZNF576,-0.2884773,3.30E-03
FRMD7,-0.1681425,3.30E-03
PRKAR2B,-0.2277052,3.30E-03
CACNB4,0.397284,3.30E-03
CAB39L,0.5033317,3.30E-03
HSD17B13,-0.2626196,3.30E-03
ESRRA,0.4415495,3.30E-03
RASA3,0.3769603,3.30E-03
PMAIP1,1.0750379,3.31E-03
PCLO,-0.9257478,3.31E-03
ADARB2,-1.2025697,3.31E-03
PDE1C,0.4093943,3.31E-03
NUDT21,-0.3229436,3.31E-03
NUDT10,-0.6019534,3.31E-03
COPG2,0.3975952,3.31E-03
VIPAR,0.3165306,3.31E-03
CSGALNACT1,0.7647471,3.31E-03
G0S2,-0.241018,3.32E-03
ZNF169,-0.4260155,3.32E-03
RAD1,-0.513129,3.32E-03
TNS1,-0.2627842,3.32E-03
GATS,0.2427802,3.33E-03
RAE1,-0.2030302,3.33E-03
BEST1,-0.6322793,3.33E-03
ATPAF1,-0.4362877,3.34E-03
PCYT1A,0.4273687,3.34E-03
SLC12A1,-0.1950253,3.34E-03
ZC3H14,-0.227962,3.34E-03
GYG1,0.5172362,3.34E-03
CDT1,0.2855334,3.35E-03
HEATR2,0.2637612,3.35E-03
PSMC2,0.2281774,3.35E-03
IGSF9,-0.2181294,3.35E-03
MICAL3,0.2271966,3.35E-03
CA12,-0.1596833,3.35E-03
CCRL1,-0.2840447,3.35E-03
GTF2H2 /// GTF2H2B /// GTF2H2C /// GTF2H2D,0.4205724,3.35E-03
TK2,0.3268206,3.35E-03
CRB3,-0.234293,3.35E-03
C20orf160,-0.4539119,3.35E-03
THADA,-0.2043298,3.36E-03
ZNF581,0.3577829,3.36E-03
GPC3,-1.5913157,3.36E-03
SLC19A1,-0.3092599,3.37E-03
LEF1,-0.247247,3.37E-03
ZNF234,0.2101963,3.37E-03
ZNF44,-0.2897466,3.37E-03
GNAQ,0.2504289,3.37E-03
SMAD3,-0.3242225,3.37E-03
DYNC1LI2,-0.3595916,3.37E-03
P2RX7,0.7395089,3.38E-03
MRPL14,0.2591745,3.38E-03
ZNF681,0.2045187,3.38E-03
MYL12A,0.3001306,3.38E-03
CWF19L2,-0.3094252,3.38E-03
SOX6,0.5912298,3.38E-03
C14orf180,-0.2607683,3.38E-03
BSG,-0.4139988,3.38E-03
SPG20,0.57789,3.38E-03
MAP3K4,-0.4385293,3.38E-03
SERPINB3 /// SERPINB4,-0.2020402,3.39E-03
BMPR2,0.2538404,3.39E-03
RPL39,-0.1175167,3.39E-03
ARHGEF9,-0.3365857,3.39E-03
CD46,0.3158588,3.39E-03
DNAJC6,-0.584202,3.39E-03
AIPL1,-0.1786118,3.39E-03
LIME1,-0.3636597,3.39E-03
FOXO3,-0.5471789,3.39E-03
RAB39,0.2460937,3.40E-03
MUT,-0.3469907,3.40E-03
ROR2,1.6190399,3.40E-03
MAN1C1,-0.8598604,3.40E-03
MME,-2.0762248,3.40E-03
CDK10,-0.2082281,3.40E-03
ANKRD36 /// ANKRD36B /// FLJ40330 /// LOC400986 /// LOC400987,-0.4429274,3.40E-03
UBQLNL,-0.5508146,3.40E-03
TAGLN2,-0.3939142,3.40E-03
FAM102A,0.4568383,3.40E-03
CEP350,0.4684412,3.41E-03
PQBP1,-0.2521711,3.41E-03
ZNF454,-0.2641366,3.41E-03
CHD9,0.3484548,3.41E-03
UBE4A,0.3703972,3.41E-03
GNB5,-0.265176,3.41E-03
SLC38A11,1.0264112,3.41E-03
IFFO1,0.3682933,3.41E-03
SOX6,0.9250027,3.42E-03
WASF3,-0.8739295,3.43E-03
PCLO,-0.749259,3.43E-03
ELF3,-0.3110473,3.43E-03
SFRS5,0.3971014,3.43E-03
EXOSC10,0.5165583,3.43E-03
ELK3,0.4455387,3.44E-03
CMPK2,0.2180383,3.44E-03
MON2,0.2450181,3.44E-03
PDZD11,0.2545885,3.44E-03
SFRS1,-0.4785334,3.45E-03
CXCL10,1.3968505,3.45E-03
EDA,-0.1774727,3.45E-03
CALCRL,-0.3661573,3.45E-03
TRIM39,-0.2573648,3.45E-03
C17orf28,-0.4089107,3.45E-03
ANAPC1,-0.2987026,3.45E-03
TCOF1,-0.3040712,3.45E-03
LCP1,0.9065928,3.45E-03
RBM8A,-0.2679781,3.46E-03
LAT /// SPNS1,-0.3144762,3.46E-03
ITSN1,0.5504439,3.46E-03
PADI6,-0.1649526,3.46E-03
PRDX3,0.5937733,3.46E-03
CHCHD6,-0.5615186,3.46E-03
IER5L,-0.5635198,3.46E-03
CENPF,0.7136578,3.46E-03
IRF7,0.7663651,3.46E-03
NSDHL,-0.2527305,3.47E-03
TSPAN32,0.3395978,3.47E-03
NUS1,0.2842085,3.47E-03
PIGK,0.3666803,3.47E-03
PECAM1,0.8024905,3.47E-03
CUEDC1,0.3732769,3.48E-03
LOC100287430 /// RPS5,-0.3568893,3.48E-03
LAMC2,-0.2980291,3.48E-03
RWDD2A,0.3188236,3.48E-03
ADIPOR1,0.505985,3.48E-03
PRKD2,-0.3914071,3.48E-03
UTS2,-0.3891901,3.49E-03
NUFIP2,0.5188656,3.49E-03
YAP1,0.3091444,3.49E-03
PPP1R1C,0.9946484,3.49E-03
---,-0.2593498,3.49E-03
SNORD97,-0.1709618,3.49E-03
HIP1,0.2631256,3.49E-03
ESRRG,0.2898849,3.49E-03
BIRC5,-0.2309986,3.49E-03
SYNJ2,-0.1917102,3.49E-03
SIKE1,0.4403721,3.49E-03
CALML4,0.4416881,3.49E-03
CLEC4M,-0.2527312,3.50E-03
MYL2,-0.275802,3.50E-03
ZNF561,0.2415041,3.50E-03
ZNF136,-0.2148888,3.50E-03
LOC100133863 /// PDZK1 /// PDZK1P1,-0.1936483,3.51E-03
NGRN,-0.2092688,3.51E-03
DEGS2,-0.3922631,3.51E-03
RPL14,-0.2425266,3.51E-03
ANKRD24,-0.3243955,3.51E-03
NDP,-1.0183289,3.52E-03
TGFB3,-0.2435957,3.52E-03
SPDYE2,-0.1740161,3.52E-03
GFM2,0.2153952,3.52E-03
BNIPL,-0.2357082,3.52E-03
MYO5B,-0.3753166,3.52E-03
EVC2,-0.3831746,3.52E-03
SAP30L,0.2735379,3.52E-03
CRYGN,0.6579626,3.53E-03
KRT4,-0.2024647,3.53E-03
CLEC1A,-0.3262087,3.53E-03
PIN1,0.3554288,3.53E-03
ERP29,0.2439497,3.53E-03
GTF2IRD2 /// GTF2IRD2B /// GTF2IRD2P1,0.6823351,3.53E-03
LPP,-0.6060385,3.54E-03
TAF5,-0.414342,3.54E-03
POLH,0.3689894,3.54E-03
ATXN2L,-0.1975644,3.54E-03
NCRNA00114,-0.2134896,3.54E-03
CENPB,-0.3329966,3.54E-03
HLA-A,0.5730208,3.54E-03
RFC5,0.3281667,3.54E-03
ACTL6A,-0.2569926,3.54E-03
ZNF484,0.292036,3.55E-03
FAM190B,-0.3340102,3.55E-03
EZR,-0.4334295,3.55E-03
CDK10,-0.3917839,3.55E-03
WWC2,-0.5942147,3.55E-03
ECHDC2,-0.5178725,3.55E-03
OLFM3,-0.1974873,3.55E-03
MMRN2,-0.3113658,3.56E-03
PMPCB,0.1919017,3.56E-03
RRAGD,-0.9723089,3.56E-03
IQCH,-0.2194904,3.56E-03
HLA-A,0.5777517,3.56E-03
ENPP3,-0.308736,3.57E-03
RBM23,0.243986,3.57E-03
REEP1,-0.2204842,3.57E-03
CACNA2D1,-0.1784975,3.57E-03
KCNMB2,-0.1952011,3.57E-03
ACTN1,-0.8865403,3.57E-03
DNMT3B,-0.2211279,3.58E-03
PQLC3,-0.3527287,3.58E-03
SEC31A,-0.1941523,3.58E-03
SRD5A1,0.2822356,3.58E-03
RPL14,-0.2209628,3.58E-03
RUNX3,0.5725231,3.59E-03
PBXIP1,0.2843664,3.59E-03
B2M,0.2023798,3.59E-03
MSRA,0.6202401,3.59E-03
CBS,-0.6974401,3.60E-03
TBK1,0.3697754,3.60E-03
LRP10,0.2675054,3.60E-03
STAU1,-0.1582924,3.61E-03
SNRNP48,-0.4696803,3.61E-03
