Gene_Name,logFC,PValue
VTI1B,-0.37966534,2.41E-03
SSNA1,-0.51670832,2.41E-03
METRN,-1.65655772,2.41E-03
FAM49B,-0.59180916,2.41E-03
ZBTB47,-0.66649011,2.42E-03
CSNK1A1,-0.60705115,2.42E-03
PDE4D,-1.15388428,2.42E-03
LILRA1,-0.50602502,2.42E-03
ZNF439,-0.55511935,2.42E-03
NRXN1,-2.30628394,2.42E-03
HDLBP,0.42106585,2.42E-03
VNN 1.00,-0.45646651,2.42E-03
BRE,-0.39527252,2.42E-03
NAGS,0.63206686,2.42E-03
FKBP9 /// FKBP9L,-0.87370205,2.43E-03
PLEKHO1,-0.84248468,2.43E-03
LOC729678,0.577713,2.43E-03
SPOCK3,0.47397848,2.43E-03
THEG,0.28722304,2.43E-03
MLLT4,0.22796966,2.43E-03
HIRIP3,-0.63829277,2.43E-03
ID2,-0.84232602,2.44E-03
RRM2,-1.17980238,2.44E-03
DCUN1D5,0.38656765,2.44E-03
ZWILCH,-0.47004771,2.44E-03
C19orf36,1.36777025,2.44E-03
C17orf49,-0.43288463,2.44E-03
POLI,-0.93056145,2.44E-03
TNR,0.25630887,2.44E-03
DCTN4,-0.37723162,2.45E-03
DYNLL1,0.40659327,2.45E-03
FOXP2,0.2156022,2.45E-03
RARS,-0.37424447,2.45E-03
ANXA8 /// ANXA8L1 /// ANXA8L2,0.68223437,2.45E-03
ELSPBP1,0.34669989,2.46E-03
NPHP4,-0.42502875,2.46E-03
RASAL2,0.70639552,2.46E-03
POMT2,0.46086601,2.46E-03
TNFRSF10B,-0.69883127,2.46E-03
UPF1,0.33066844,2.46E-03
SULF1,2.52686151,2.46E-03
SMAP1,-0.34125395,2.46E-03
FLJ42709,-0.71868013,2.46E-03
NCRNA00219,0.43348042,2.47E-03
SCN3B,0.97168477,2.47E-03
VEGFA,1.29331758,2.47E-03
---,0.21448589,2.47E-03
STIP1,0.73540917,2.47E-03
CDK2AP2,0.68066973,2.47E-03
KIAA0174,-0.33739651,2.47E-03
VPS4A,0.26657149,2.47E-03
LUZP1,-0.70649332,2.47E-03
PRKCZ,0.58625724,2.47E-03
SLC43A3,-0.8360532,2.48E-03
RPL7L1,0.28931062,2.48E-03
OBSCN,0.32153546,2.48E-03
CD81,-0.33370652,2.49E-03
L3MBTL3,0.34057485,2.49E-03
MAF,0.76608503,2.49E-03
PPFIA3,0.87979391,2.49E-03
EEF2,-0.64365125,2.49E-03
ZNF764,-0.25751468,2.50E-03
MYO5A,-0.93748695,2.50E-03
ZNF214,0.27124996,2.50E-03
LDHA,0.58862891,2.50E-03
GPR88,0.28355437,2.50E-03
MEX3C,-0.48425912,2.50E-03
PRPF38B,-0.34591353,2.50E-03
DENR,-0.4878307,2.51E-03
COMMD4,-0.44201932,2.51E-03
SLC25A27,0.92839657,2.51E-03
ABHD11,-0.47820464,2.51E-03
RPL23AP82,-1.01860734,2.51E-03
ADAM28,-1.21602124,2.52E-03
LRRC28,-0.49309901,2.52E-03
ACSS3,0.8365977,2.52E-03
ERP44,-0.60677864,2.52E-03
PTGER4,-1.40092759,2.52E-03
C17orf108,0.84704763,2.52E-03
RG9MTD1,-0.46582535,2.52E-03
FBXO10,-0.42831316,2.52E-03
BBX,0.33385654,2.52E-03
AQP2,0.28010652,2.53E-03
RPL9,0.38655189,2.53E-03
ARSJ,0.38060004,2.53E-03
GLO1,0.33492337,2.53E-03
ANP32E,0.40363437,2.53E-03
ATP5S,-0.76433348,2.54E-03
CNTN4,-1.20501712,2.54E-03
SLC17A7,0.77136226,2.54E-03
OLFML1,0.90904217,2.54E-03
HYAL1,0.55523832,2.54E-03
SGCD,1.64694127,2.55E-03
DCLK1,0.53524398,2.55E-03
C14orf2,0.28535814,2.55E-03
ENTPD6,0.33429093,2.55E-03
NCOA6,-0.42528767,2.55E-03
PLCB2,-0.87078961,2.55E-03
C12orf35,-0.63535459,2.55E-03
CTXN3,1.14485087,2.55E-03
BECN1,-0.67708796,2.55E-03
GPT2,1.04686982,2.56E-03
LOC440248,0.41144154,2.56E-03
PXN,0.47035386,2.56E-03
SEL1L,-0.90215592,2.56E-03
AP1S2,-0.89888744,2.56E-03
TCF7L2,0.58640861,2.56E-03
---,0.32624543,2.56E-03
DDX5,-0.29655302,2.56E-03
SPRY1,0.94238009,2.56E-03
FAT1,-0.54043156,2.56E-03
REL,-0.92073681,2.56E-03
SMAP2,-0.89371624,2.57E-03
IRF9,-0.83668878,2.57E-03
MTMR12,-0.51666187,2.57E-03
TMEM220,-0.32943316,2.57E-03
LEF1,0.75582043,2.57E-03
MAN2B2,-0.27012415,2.57E-03
CYGB,0.80319365,2.57E-03
GCFC1,-0.86408478,2.57E-03
SPTLC2,-0.5330881,2.58E-03
BACE2,0.63227835,2.58E-03
RHOU,1.27372942,2.58E-03
SPPL2B,-0.65870376,2.58E-03
ITGB1,-0.25003992,2.58E-03
DSTN,0.59970471,2.58E-03
8-Mar,0.21786851,2.58E-03
CADM1,-0.92146885,2.58E-03
MED29,-0.47020751,2.59E-03
MCTP1,1.66092685,2.59E-03
MYO5C,0.36885397,2.59E-03
TMEM185B,-0.36290212,2.59E-03
FAM198B,-1.03364806,2.60E-03
CA13,0.52150359,2.60E-03
AK3L1,0.29335574,2.60E-03
ABCF1,0.51984984,2.60E-03
RND1,0.61476875,2.60E-03
DOCK5,-0.61312763,2.60E-03
THSD4,2.50494683,2.60E-03
GAPVD1,-0.67462552,2.60E-03
C17orf91,-1.37882955,2.60E-03
TCOF1,0.31738778,2.60E-03
HRCT1,1.54924863,2.60E-03
TMEM143,0.4341996,2.61E-03
S100A11,-0.8285644,2.61E-03
ABCB9,0.45835938,2.61E-03
UBE4A,0.4487063,2.61E-03
TMEM126B,-0.43430219,2.61E-03
INTS10,-0.7734239,2.61E-03
AQP11,-1.12141121,2.61E-03
C6orf134,-0.48832789,2.62E-03
JDP2,-0.64135867,2.62E-03
SERPINB9,1.02874981,2.62E-03
GPR39,-1.07483084,2.62E-03
SLC25A4,0.45331649,2.62E-03
FAM150B,1.67574894,2.62E-03
DHCR24,1.54892705,2.62E-03
KIAA0427,0.72939783,2.62E-03
NT5M,-0.69141083,2.62E-03
CXCR4,-1.49624973,2.62E-03
PAFAH1B1,0.53763356,2.62E-03
ASPHD2,0.96060937,2.62E-03
MYD88,-0.90017164,2.62E-03
HIF3A,0.46062554,2.62E-03
MCCC2,-0.47341382,2.62E-03
ITGB4,-1.11384098,2.63E-03
TBX1,0.21813897,2.63E-03
FICD,0.54006045,2.63E-03
COL12A1,-0.87080005,2.63E-03
MPZL1,0.87362614,2.63E-03
FAM178B,0.55487174,2.63E-03
TMEM50B,-1.22438901,2.63E-03
RIN3,-0.51416624,2.64E-03
VPS16,0.36719794,2.64E-03
NR1H3,1.01171781,2.64E-03
ITGB1,-0.51776009,2.64E-03
TFPI,1.53046397,2.64E-03
TCP10L,0.45165555,2.64E-03
BNIP2,-0.41499616,2.64E-03
DAZAP1,0.48924949,2.64E-03
MCTP1,1.27639737,2.64E-03
BRF2,-0.37178535,2.64E-03
CAMTA1,0.29054907,2.64E-03
PIP5K1A,-0.787031,2.64E-03
FAAH2,0.25156858,2.64E-03
KCNMA1,2.47229649,2.65E-03
DCAF7,-0.56853835,2.65E-03
G6PC,0.24158044,2.65E-03
ZNF136,-0.43109563,2.65E-03
NTRK2,-1.75858909,2.65E-03
AKD1,-0.42440509,2.65E-03
MAP6,0.87453842,2.65E-03
GDEP,0.27234626,2.65E-03
C19orf10,-0.79020596,2.65E-03
USP36,0.36431633,2.66E-03
KCNC4,0.63099333,2.66E-03
AKAP9,0.28032853,2.66E-03
Septin 6,1.34424381,2.66E-03
SLC35E1,-0.39011409,2.66E-03
CYB5D2,-0.47811291,2.66E-03
FUT1,0.44383991,2.66E-03
GEN1,-0.55556241,2.66E-03
GLT25D2,1.15486499,2.66E-03
FLYWCH1,0.7191366,2.66E-03
LOC200030 /// NBPF10 /// NBPF14 /// NBPF15 /// NBPF16 /// NBPF8 /// NBPF9,-1.18913553,2.66E-03
CDKN3,-0.48799078,2.67E-03
SEC63,0.37777737,2.67E-03
C21orf2,-0.39298564,2.67E-03
MBP,1.89666216,2.67E-03
KCTD6,0.42097875,2.67E-03
---,1.03991366,2.67E-03
CEACAM1,0.3800893,2.67E-03
PDCD1LG2,-1.04078632,2.67E-03
CYBB,-0.8108674,2.68E-03
AKR1E2,0.32061799,2.68E-03
LOXL2,-0.99332663,2.68E-03
SLMAP,0.3885887,2.68E-03
LOC100133106,0.19196444,2.68E-03
BDP1,-0.59404063,2.68E-03
PHKA2,0.43416803,2.68E-03
FBXO3,-0.74310397,2.68E-03
IKBKG,-0.43965688,2.68E-03
CUX1,0.42258991,2.68E-03
MKRN2,-0.5072376,2.68E-03
NGB,0.25954264,2.68E-03
SUFU,-0.72093651,2.69E-03
PHF3,0.51100713,2.69E-03
DSE,-0.67115158,2.69E-03
C9orf84,0.25244738,2.69E-03
HOXC5,0.31526027,2.69E-03
IKBIP,-0.93753633,2.69E-03
PRKCA,1.01538349,2.69E-03
C22orf25,-0.41838873,2.69E-03
SWAP70,0.39804633,2.69E-03
ERLEC1,-0.43347136,2.69E-03
ERH,0.19003831,2.69E-03
C17orf103,0.25103781,2.70E-03
RQCD1,0.49426555,2.70E-03
ZCCHC3,-0.44006278,2.70E-03
SAMD9L,-0.78159259,2.70E-03
IRS1,-1.66217227,2.70E-03
CCNJ,-0.41009732,2.70E-03
PCDHGA12,0.34745917,2.70E-03
PTPN21,0.59835914,2.70E-03
C14orf68,0.24927431,2.70E-03
FKBP9 /// FKBP9L,-0.79262516,2.70E-03
MR1,-0.87213306,2.71E-03
DIS3L,-0.27514527,2.71E-03
NSD1,0.3660266,2.71E-03
RRS1,0.51326414,2.72E-03
PPP2R3B,-1.4032055,2.72E-03
RPAP2,0.37609586,2.72E-03
LETMD1,-0.31696992,2.72E-03
MRFAP1,0.22364785,2.72E-03
OLFM1,-2.07683743,2.72E-03
C21orf130,0.37387906,2.72E-03
CA14,0.69273832,2.73E-03
OSBPL3,-0.8339688,2.73E-03
ATRX,-0.3546584,2.73E-03
HIF3A,0.57069828,2.73E-03
NTRK2,-0.86035308,2.73E-03
KIAA1143,0.35575745,2.73E-03
CXorf49 /// CXorf49B,0.48894362,2.73E-03
CRYBB3,0.22713585,2.74E-03
SPOCK2,0.98374934,2.74E-03
DGCR14,0.49685552,2.74E-03
IFI44L,-1.69116903,2.74E-03
DNM1L,0.32759944,2.74E-03
NAPSB,-0.40338337,2.75E-03
AWAT1,0.24721065,2.75E-03
GPR12,0.5001146,2.75E-03
ADCYAP1,0.51044577,2.75E-03
ATP13A5 /// C10orf54 /// HARS /// LOC100288418,0.22352582,2.76E-03
TMEM106C,-0.70987167,2.76E-03
SREBF1,-0.65310081,2.76E-03
BEND4,0.34987918,2.76E-03
IRS1,-0.88199317,2.76E-03
NTRK3,1.35641546,2.76E-03
GATAD1,0.31724197,2.76E-03
SERP1,0.50441795,2.76E-03
ISX,0.26693299,2.76E-03
DCXR,0.73615813,2.76E-03
SH3GLB2,0.78766439,2.77E-03
NHP2,0.41345074,2.77E-03
SIX4,0.95316397,2.77E-03
MSTO1 /// MSTO2P,0.4275718,2.77E-03
HMGN1,-0.37302603,2.77E-03
NAT8L,0.84141541,2.77E-03
TBC1D25,-0.43737134,2.77E-03
DCTD,0.24126695,2.77E-03
HNRNPF,-0.74035623,2.78E-03
ETFA,-0.37583418,2.78E-03
ICK,0.31287549,2.78E-03
DOK1,-0.71668756,2.78E-03
ZNF30,-0.73474383,2.78E-03
ASB13,-0.28262051,2.79E-03
IFT52,-0.54742266,2.79E-03
VSTM2L,1.13817985,2.79E-03
C1orf183,1.1397091,2.79E-03
MIR17HG,-0.22004325,2.79E-03
IPCEF1,-0.29074973,2.79E-03
PTTG1 /// PTTG3P,-1.31883058,2.79E-03
C14orf143,-0.46859724,2.79E-03
SRPK2,0.52517115,2.79E-03
SLC25A20,-0.562874,2.79E-03
MAPK3,0.39130169,2.79E-03
DDX51,0.41007857,2.80E-03
C14orf50,0.67371494,2.80E-03
PDGFRA,2.08287056,2.80E-03
ST3GAL4,-0.99972011,2.80E-03
ADM2,0.31580712,2.80E-03
PNPLA4,-1.13776999,2.80E-03
CDC37,0.32525865,2.80E-03
PLSCR3,-0.64969575,2.80E-03
CCL4L1 /// CCL4L2,-1.38081466,2.80E-03
LY6K,1.36818663,2.80E-03
DNAJB12,-0.3930821,2.80E-03
CCDC86,0.3975355,2.81E-03
THUMPD1,-0.35236309,2.81E-03
FKBP10,-0.73064927,2.81E-03
S100A7A,0.19956524,2.81E-03
SCEL,0.25860668,2.81E-03
TBC1D3 /// TBC1D3B /// TBC1D3C /// TBC1D3F /// TBC1D3G /// TBC1D3H,-0.29396323,2.81E-03
SH3BP5L,-0.65133954,2.82E-03
MIIP,0.35441994,2.82E-03
UBXN2A,-0.88841654,2.82E-03
SNN,-0.54213005,2.82E-03
PPIG,0.33023795,2.82E-03
TBC1D3 /// TBC1D3H,-0.22971966,2.82E-03
RIPPLY1,0.26788082,2.82E-03
FUK,0.32213572,2.82E-03
FRMD4A,-0.93337394,2.83E-03
SLC39A6,-1.09991188,2.83E-03
NIPSNAP3A,-0.70698002,2.83E-03
PLCXD1,-0.53879942,2.83E-03
C6orf124,0.4879856,2.83E-03
RPS6,0.23933595,2.83E-03
MPZL1,0.39226352,2.83E-03
VPS45,-0.26697396,2.84E-03
Septin 9,-0.58292024,2.84E-03
LAPTM5,-1.41771239,2.84E-03
FKBP10,-0.84809193,2.84E-03
HSPA8,1.95672619,2.84E-03
ZNF333,-0.5443117,2.84E-03
SLC2A11,0.53881427,2.84E-03
TIA1,-0.4302901,2.84E-03
BEST1,0.75576824,2.84E-03
FAM135B,-1.35093253,2.85E-03
TMEM63C,0.65170376,2.85E-03
MYST4,-0.66486018,2.85E-03
IGFBP4,-1.36758384,2.85E-03
SCD,-0.93705123,2.85E-03
PARN,0.24611248,2.86E-03
BPTF,-0.55044409,2.86E-03
CSPG5,-0.94145654,2.86E-03
KIF5A,0.52246831,2.86E-03
TOMM40L,-0.60017279,2.86E-03
FAM189A1,0.65777166,2.86E-03
ARFIP1,-0.59435532,2.86E-03
RNGTT,0.55455912,2.86E-03
RUFY1,-0.56208229,2.86E-03
MSRB3,0.91953747,2.86E-03
OAS3,-1.29170859,2.86E-03
HSPD1,0.69527361,2.86E-03
AP1S2,-0.89838285,2.86E-03
SIGLEC11,-1.29473632,2.86E-03
SRPR,0.43431478,2.87E-03
B3GNT5,0.29897441,2.87E-03
SHISA7,0.61118697,2.87E-03
---,-0.603829,2.87E-03
VPS24,-0.32324133,2.87E-03
USP27X,-0.69832551,2.87E-03
XRCC4,-0.60412882,2.87E-03
ZFAND5,-1.75143302,2.88E-03
SIRT1,-0.47514039,2.88E-03
ZNF490,-0.39667615,2.89E-03
LGALS7 /// LGALS7B,0.25327243,2.89E-03
SMCR7L,-0.34666706,2.89E-03
ZFAND5,-1.2922448,2.89E-03
ZNF148,-0.21202795,2.89E-03
ASF1A,-0.66415029,2.90E-03
C11orf53,0.39705521,2.90E-03
AGFG2,0.56626163,2.90E-03
AURKAIP1,0.29869517,2.91E-03
HAS1,0.28868672,2.91E-03
HDAC3,-0.34919905,2.91E-03
ENTPD1,-0.66891164,2.91E-03
AQP4,0.20726903,2.91E-03
FLJ34503,-0.60425451,2.91E-03
PML,-0.73508183,2.91E-03
ATG3,-0.35183432,2.91E-03
HPS3,-0.51026589,2.91E-03
RMI1,-0.39503972,2.92E-03
SH2B3,-0.40316808,2.92E-03
TBX3,0.5570971,2.92E-03
SC5DL,0.56235395,2.92E-03
TMEM97,0.35324086,2.92E-03
C1orf198,-0.79062559,2.92E-03
GCKR,0.25003676,2.92E-03
AURKAIP1,0.31119912,2.92E-03
ZNF692,0.43208818,2.93E-03
KCNK2,0.46844859,2.93E-03
ASF1A,-0.46851489,2.93E-03
NCOA7,0.87787109,2.93E-03
APOBEC1,0.32754415,2.93E-03
SETD2,-0.37710644,2.93E-03
PLB1,-0.54905733,2.93E-03
MEGF8,-1.15564816,2.94E-03
MED24,0.37625032,2.94E-03
ECM2,0.35497386,2.94E-03
CSTF1,-0.28435043,2.94E-03
DDX59,-0.34340996,2.94E-03
MANBAL,-0.56993596,2.94E-03
C17orf91,-1.58130542,2.94E-03
SPAG7,-0.26773926,2.94E-03
P2RY12,-1.4297152,2.94E-03
MTF2,0.3750985,2.94E-03
GLA,-0.59535187,2.95E-03
FLJ44635,0.23020465,2.95E-03
CDH13,-1.15088161,2.95E-03
RBP3,0.22523387,2.95E-03
CAMTA1,-0.36050066,2.96E-03
MMP10,0.26961286,2.96E-03
ENTPD3,0.88009224,2.96E-03
IGFBP2,-1.52725192,2.96E-03
NCAM2,-2.07180987,2.96E-03
GTDC1,-0.67049259,2.96E-03
PTPRG,0.49385879,2.96E-03
KDM2A,-0.31745667,2.96E-03
ASAH1,-0.87000534,2.96E-03
SAMD1,-0.60244627,2.96E-03
STRADA,-0.37904789,2.97E-03
C3orf52,0.22383508,2.97E-03
PHTF2,-0.44328865,2.97E-03
BNIP3L,-0.53935655,2.97E-03
PCBP2,0.2225262,2.97E-03
MTA2,-0.74642749,2.97E-03
PMS1,-0.58957666,2.98E-03
STX12,-0.5984229,2.98E-03
GPM6B,-1.59307806,2.98E-03
STC1,1.62205055,2.98E-03
CCNB1,-0.55145,2.98E-03
ZNF614,-0.35881369,2.98E-03
PTPRO,-1.4042245,2.99E-03
SUPT4H1,-0.36204527,2.99E-03
AQP4,2.22587829,2.99E-03
BAZ1B,0.44781273,2.99E-03
CAPN1,-0.41023797,2.99E-03
MATN2,-1.43546963,2.99E-03
LIMCH1,0.89335244,2.99E-03
ILVBL,-0.27136741,2.99E-03
ACBD5,-0.41807819,2.99E-03
PRPF40B,0.54533273,2.99E-03
ZNF639,-0.59124917,2.99E-03
RAB23,0.9792436,2.99E-03
ATP6V1D,0.41588611,2.99E-03
EPHB6,0.6668577,2.99E-03
C12orf69,-2.08712009,3.00E-03
SKIV2L2,-0.4855354,3.00E-03
PHF12,-0.35559905,3.00E-03
RBM9,0.51964185,3.00E-03
TANK,-0.45646702,3.00E-03
THBS3,-0.41417136,3.00E-03
OMG,0.40837554,3.00E-03
AS3MT,-1.13238486,3.00E-03
PRMT5,0.36695248,3.01E-03
DLST,-0.36640519,3.01E-03
AMDHD2,-0.41589886,3.01E-03
RBM9,0.54241865,3.01E-03
ZNF812,-1.03234388,3.01E-03
TOP2A,-1.6659778,3.01E-03
ANKRD11,-0.48175305,3.01E-03
LMTK3,0.42160682,3.01E-03
B3GALTL,-0.41326962,3.01E-03
NF2,0.86571643,3.01E-03
ZNF169,-0.58280414,3.02E-03
GALNT11,-0.29208008,3.02E-03
RNF144B,0.45622965,3.02E-03
SASH1,-0.56213526,3.02E-03
YJEFN3,0.39558123,3.02E-03
NDUFA1,0.22706735,3.03E-03
EFS,-0.95484254,3.03E-03
HARS,0.38747407,3.03E-03
LMF2,-0.39383548,3.03E-03
LARP1B,-0.54045496,3.03E-03
ZNF551,-0.3991287,3.03E-03
ARFRP1,0.37309782,3.03E-03
C14orf169,-0.70124122,3.03E-03
SLED1,0.5545538,3.03E-03
RASSF9,0.26531546,3.03E-03
LOC729991,0.63176903,3.03E-03
MPDZ,0.69309139,3.03E-03
UNC50,-0.49631019,3.03E-03
HDDC2,0.36949788,3.04E-03
Septin 6,1.17144253,3.04E-03
RGMA,1.22728162,3.04E-03
SMARCD2,-0.7041507,3.04E-03
MAP7,0.229823,3.04E-03
TM9SF4,-0.39067521,3.04E-03
C19orf24,0.59931496,3.05E-03
PYDC1,0.34363654,3.05E-03
TSG101,-0.41534766,3.05E-03
ZNF330,-0.35487864,3.05E-03
ASNS,0.81905268,3.05E-03
LASS6,-1.01719034,3.05E-03
INTS6,0.59738147,3.05E-03
C17orf81,-0.4158912,3.06E-03
C12orf12,0.19945994,3.06E-03
PCTP,-1.0783688,3.06E-03
PCDHB13,0.5588685,3.06E-03
C7orf41,1.17988449,3.06E-03
MKRN1,-0.49201451,3.06E-03
PCSK9,0.24571196,3.06E-03
EPN3,0.27874559,3.06E-03
INADL,0.61959527,3.06E-03
TAB2,-0.40866872,3.06E-03
PCYOX1,-0.77633769,3.06E-03
FNDC3A,-0.72291017,3.06E-03
ARHGAP29,1.10501326,3.06E-03
HRC,0.54264594,3.06E-03
ATP6V1C1,-0.48677146,3.06E-03
SUN2,-0.99685475,3.07E-03
TRAK2,-0.62976361,3.07E-03
FLT3LG,-0.75627525,3.07E-03
FBXO11,-0.31153705,3.07E-03
LDLRAD3,0.21607566,3.08E-03
ZKSCAN4,-0.48812896,3.08E-03
ZNF792,-0.27791913,3.08E-03
FCHO1,-0.48204992,3.09E-03
RANBP6,-0.38545811,3.09E-03
SPC24,0.22184021,3.09E-03
OLFML2B,-0.93041163,3.09E-03
PTAR1,-0.94401394,3.09E-03
FAM171A2,0.21984905,3.09E-03
ATP2B4,0.26431012,3.09E-03
CCDC14,-0.50539612,3.09E-03
MYH7B,0.4295572,3.09E-03
LRRC34,0.60151544,3.10E-03
KIFC1,-0.42545698,3.10E-03
ABCB9,0.20398309,3.11E-03
TNFRSF14,-0.69540992,3.11E-03
RERG,0.22177625,3.11E-03
CSNK1D,-0.40982162,3.11E-03
SVIL,0.88866359,3.11E-03
LRCH4 /// SAP25,0.55356545,3.11E-03
CCS,0.37008621,3.11E-03
TMEM184B,-0.47558121,3.12E-03
FAM167B,0.52404514,3.12E-03
CLEC4M,0.42266905,3.12E-03
REG3G,0.25630405,3.12E-03
PDCD2,-0.46515316,3.12E-03
TJAP1,0.37792577,3.12E-03
RNF19A,-0.60763401,3.12E-03
NCAM1,-1.6300823,3.12E-03
MGAT4C,-0.39659926,3.12E-03
RNF14,-0.49803177,3.12E-03
CSTF3,0.66819603,3.12E-03
PDDC1,-0.35141831,3.12E-03
RAPGEF6,0.30177385,3.13E-03
MVP,-0.66417752,3.13E-03
NUCKS1,-0.77784318,3.13E-03
HELLS,-0.37966064,3.13E-03
SLC27A1,-0.28598161,3.14E-03
GAPVD1,-0.35691651,3.14E-03
LOC643008,-0.41663875,3.14E-03
ADPGK,-0.55707604,3.14E-03
ZNF416,-0.57706392,3.14E-03
SYT8,0.32901778,3.14E-03
UQCRHL,0.24241037,3.14E-03
LOC732160 /// NDUFA10,0.37018353,3.14E-03
SUMO2,-0.40086778,3.14E-03
PRKAB1,-0.56059738,3.15E-03
XRRA1,0.24909551,3.15E-03
PSMF1,0.51431052,3.15E-03
C1QTNF3,-0.57106564,3.15E-03
MGC87042,-1.72790563,3.15E-03
LUC7L3,0.62862452,3.15E-03
ZNF219,-0.85945555,3.15E-03
IFI44,-1.15460899,3.16E-03
PCCA,0.36509009,3.16E-03
RASGRP1,-1.31585557,3.16E-03
DBF4,0.54952556,3.16E-03
ZNF195,-0.34226952,3.16E-03
TMEM111,0.39737068,3.16E-03
ACAP2,-0.35148222,3.17E-03
SPCS3,0.35291651,3.17E-03
SIX2,0.4124221,3.17E-03
ADAMTS1,1.62509113,3.17E-03
PDGFA,-0.36843609,3.17E-03
BACE2,0.6790043,3.17E-03
LOC199899,-0.92592176,3.17E-03
PSAP,-0.387651,3.17E-03
LETM1,0.53076688,3.18E-03
KHSRP,0.29825851,3.18E-03
TEKT5,0.21221805,3.18E-03
C7,1.70964106,3.18E-03
EFHB,-1.69165138,3.18E-03
ST3GAL2,-0.32862476,3.18E-03
CDK5RAP3,0.40097729,3.19E-03
USP1,-0.66829636,3.19E-03
AKT2,-0.26776322,3.19E-03
SNCB,0.41291442,3.19E-03
PSMF1,0.67683674,3.19E-03
GRIN2A,-0.19823362,3.19E-03
RAB5A,-0.675549,3.19E-03
LEPRE1,0.54533665,3.19E-03
STX7,-0.40552812,3.19E-03
NRP1,0.41528017,3.20E-03
RNF145,-0.45928517,3.20E-03
RAB14,0.24121038,3.20E-03
FAM72A /// FAM72B /// FAM72C /// FAM72D,-0.7386657,3.20E-03
HMGN2,0.24610869,3.20E-03
IGHG1 /// IGHM /// LOC100133862,0.28398843,3.20E-03
BAI2,0.29463277,3.20E-03
CA10,0.41445178,3.20E-03
RHOJ,-1.130061,3.21E-03
RBM16,-0.34458372,3.21E-03
TGFBRAP1,-0.35992626,3.21E-03
SIGLEC8,-1.45643594,3.21E-03
RBM4B,-0.5305497,3.21E-03
FBXO3,-0.72329099,3.21E-03
CALU,-1.06503984,3.21E-03
TCTEX1D2,-0.58962743,3.22E-03
CEP63,-0.29601197,3.22E-03
LXN,1.04595067,3.22E-03
CBX5,0.53994902,3.22E-03
PATZ1,-0.64407533,3.23E-03
STX10,-0.34964759,3.23E-03
DCLK1,0.28970078,3.23E-03
C1orf217,0.66693954,3.23E-03
ZNF131,-0.34935941,3.23E-03
SBNO1,0.30376306,3.23E-03
CALML4,0.88626313,3.23E-03
SNRPN /// SNURF,0.53873971,3.24E-03
PDE6A,0.28025316,3.24E-03
PPIG,0.6313134,3.24E-03
PSD,0.64899687,3.24E-03
KIF3C,0.71704143,3.25E-03
RNF123,0.3205411,3.25E-03
PRDM8,0.40298923,3.25E-03
PPM1K,-0.69243367,3.25E-03
TCF7,-0.37724235,3.25E-03
KRIT1,0.24073567,3.25E-03
GFAP,3.29311626,3.25E-03
TOPBP1,-0.18475663,3.25E-03
SLC16A7,0.60104214,3.25E-03
FER,-0.99589694,3.25E-03
LOC339240,0.21951809,3.26E-03
HLA-DRB5,-3.03494424,3.26E-03
LOC400590,-0.42362145,3.26E-03
FBXW7,-0.54450687,3.26E-03
TMC5,0.23941204,3.26E-03
FAM102A,-0.70787593,3.26E-03
ARNT,0.50724551,3.26E-03
GLG1,-0.43058946,3.27E-03
ENTPD1,-1.23661297,3.27E-03
RAB39B,0.55512786,3.27E-03
RIC3,0.23782574,3.27E-03
AMOTL2,-0.89163414,3.27E-03
C15orf63 /// SERF2,-0.52859484,3.27E-03
ATP5I,0.22086595,3.28E-03
ITGB4,-0.90068902,3.28E-03
AGPAT1,-0.44246471,3.28E-03
CSDE1,-0.26460536,3.28E-03
CP,1.85551164,3.28E-03
STK25,-0.35396863,3.28E-03
UFD1L,0.34582139,3.28E-03
PHF5A,0.29789738,3.28E-03
RALGAPA1,-0.47618753,3.28E-03
PPM1N,-0.5053541,3.28E-03
CRABP2,1.11610062,3.29E-03
DNAH10,0.28455569,3.29E-03
KIAA0913,-0.28271944,3.29E-03
SLC1A7,0.39846332,3.29E-03
NGRN,0.31013264,3.29E-03
GPR155,-1.23877301,3.29E-03
CYP2C19,0.28287319,3.29E-03
YY1,-0.50429368,3.30E-03
RDH12,0.79451719,3.30E-03
OLFML2B,-1.04397797,3.30E-03
RAB5B,0.35533325,3.31E-03
ABCC4,-0.80945234,3.31E-03
BCL6,0.95434506,3.31E-03
CAPZA2,-0.40150234,3.31E-03
APLP1,0.4415719,3.31E-03
BDP1,-0.53353269,3.31E-03
CECR1,-1.33648248,3.31E-03
AKNA,-1.07746028,3.31E-03
TMEM50B,-0.99657524,3.32E-03
SIDT2,0.68410795,3.32E-03
VPS36,-0.34786811,3.32E-03
CCDC90B,-0.52316763,3.32E-03
ME2,-0.62524229,3.32E-03
NF1,0.32238021,3.32E-03
UNC119B,0.37388646,3.32E-03
RASD2,0.28364063,3.32E-03
SCN9A,-1.69145858,3.33E-03
LDHA,0.59651785,3.33E-03
SGOL2,-0.40860819,3.33E-03
TMEM25,-0.57379378,3.33E-03
CRTAP,-0.46336059,3.33E-03
DCP1A,-0.3207863,3.33E-03
ELAVL3,0.36421952,3.33E-03
NFRKB,-0.3601953,3.34E-03
C15orf17,-0.32565516,3.34E-03
SLC6A16,0.30435347,3.34E-03
NINL,0.83091328,3.34E-03
